Nama Barang;Satuan;Harga
Colokan + Kabel 1,5 Mtr 4 Lubang (1 Switch) ET 727K - Deli;Pcs;80000
Colokan 3 Lubang (1 Switch) Uticon;Pcs;75000
Colokan 4 Lubang (1 Switch) Uticon;Pcs;80000
Colokan T Merk Broco;Pcs;25000
"Computer Binder 3400 A3 14 7/8 x 11 """;Pcs;59500
Computer Binder 3401 A4 Bambi;Pcs;45000
Computer Binder SC-1301 A3 - Joyko;Pcs;55000
Computer Binder SC-1301-09  A4 - Joyko;Pcs;35000
Container Berlubang HNT2002 - Hanata;Pcs;80000
Container Box Shinpo CB 25 SIP 133-3;Pcs;65000
Container Box Shinpo CB 30 SIP110GS;Pcs;53000
Container Box Shinpo CB 60 SIP113;Pcs;125000
Container Box Shinpo CB 82 SIP 146;Pcs;153000
Container Box Shinpo CB130 SIP116;Pcs;197000
Container Box Shinpo CB150 SIP119;Pcs;250000
Container Box Shinpo CB70 SIP143;Pcs;120000
"Continous Form 9 1/2 x 12"" 6 Ply Warna";Dus;383000
"Continuous Form 9 1/2 x 12""  3 Ply (Warna)";Dus;340000
"Continuous Form 9 1/2 x 12"" (A4) 4 Ply (Warna)";Dus;244000
"Continuous Form 9 1/2 x 13"" 1Ply /2";Dus;178000
"Continuous Form 9 1/2 x 13"" 2 Ply (Warna)";Dus;239500
"Continuous Form 9 1/2 x 13"" 2/2 Ply (Warna)";Dus;239500
"Continuous Form 9 1/2 x 13"" 3 Ply (Warna)";Dus;358000
"Continuous Form 9 1/2 x 13"" 3/2 Ply (Warna)";Dus;358000
"Continuous Form 9 1/2 x 13"" 4 Ply (Warna)";Dus;257000
"Continuous Form 9 1/2 x 13"" 4/2 Ply (Warna)";Dus;257000
"Continuous Form 9 1/2 x 13"" 5 Ply (Warna)";Dus;315000
"Continuous Form 9 1/2 x 13"" 5/2 Ply (Warna)";Box;315000
"Continuous Form 9 1/2 x 13"" 6 Ply (Warna)";Dus;406500
"Continuous Form 9 1/2 x 13"" 6/2 Ply (Warna)";Dus;406500
Continuous Form B 1 Ply - Paperline;Dus;321000
Continuous Form B 2 Ply (Warna) - Paperline;Dus;486000
Continuous Form K 1 Ply - Paperline;Dus;205000
Continuous Form K 1 Ply Merk Go-Print;Dus;108000
Continuous Form K 1 Ply Merk Neuro;Dus;115000
Continuous Form K 1/2 Ply - Paperline;Dus;211000
Continuous Form K 1/2 Ply Merk Go-Print;Dus;108000
Continuous Form K 1/2 Ply Merk Neuro;Dus;115000
Continuous Form K 2 Ply (Putih-Putih) - Paperline;Dus;302000
Continuous Form K 2 Ply (Putih-Putih) Merk Neuro;Dus;175000
Continuous Form K 2 Ply (Warna) - Paperline;Dus;302000
Continuous Form K 2 Ply (Warna) Merk Go-Print;Dus;150000
Continuous Form K 2 Ply (Warna) Merk Neuro;Dus;163000
Continuous Form K 2 Wartel Merk Neuro;Dus;180000
Continuous Form K 2/2 Ply (Warna) - Paperline;Dus;309000
Continuous Form K 2/2 Ply (Warna) Merk Go-Print;Dus;150000
Continuous Form K 2/2 Ply (Warna) Merk Neuro;Dus;163000
Continuous Form K 3 Ply (Putih-Putih) Merk Neuro;Dus;245000
Continuous Form K 3 Ply (Warna) - Paperline;Dus;453000
Continuous Form K 3 Ply (Warna) Merk Go-Print;Dus;223000
Continuous Form K 3 Ply (Warna) Merk Neuro;Dus;245000
Continuous Form K 3/2 Ply (Warna) - Paperline;Dus;467000
Continuous Form K 3/2 Ply (Warna) Merk Go-Print;Dus;223000
Continuous Form K 3/2 Ply (Warna) Merk Neuro;Dus;245000
Continuous Form K 4 Ply (Warna) - Paperline;Dus;321000
Continuous Form K 4 Ply (Warna) Merk Go-Print;Dus;156000
Continuous Form K 4 Ply (Warna) Merk Neuro;Dus;175000
Continuous Form K 4/2 Ply (Putih-Putih) Merk Neuro;Dus;171000
Continuous Form K 4/2 Ply (Warna) - Paperline;Dus;335000
Continuous Form K 4/2 Ply (Warna) Merk Go-Print;Dus;156000
Continuous Form K 4/2 Ply (Warna) Merk Neuro;Dus;175000
Continuous Form K 5 Ply (Putih-Putih) Merk Neuro;Dus;232000
Continuous Form K 5 Ply (Warna) - Paperline;Dus;422000
Continuous Form K 5 Ply (Warna) Merk Go-Print;Dus;197000
Continuous Form K 5 Ply (Warna) Merk Neuro;Dus;232000
Continuous Form K 5/2 Ply (Warna) - Paperline;Dus;438000
Continuous Form K 5/2 Ply (Warna) Merk Go-Print;Dus;197000
Continuous Form K 5/2 Ply (Warna) Merk Neuro;Dus;232000
Continuous Form K 6 Ply (Warna) Merk Go-Print;Dus;239000
Continuous Form K 6 Ply (Warna) Merk Neuro;Dus;309000
Continuous Form K 6/2 Ply (Warna) Merk Go-Print;Dus;239000
Continuous Form K 6/2 Ply (Warna) Merk Neuro;Dus;309000
Corong Minyak (Diameter 15 Cm);Pcs;5000
Cutter A300 Merk Joyko;Pcs;5500
Cutter A300 Merk Kenko;Pcs;5500
Cutter K 200 Merk Kenko;Pcs;5000
Cutter K200 Merk Joyko;Pcs;5000
Cutter L500 Merk Joyko;Pcs;12500
Cutter L500 Merk Kenko;Pcs;12500
Dahlia Pewangi Gantung 75gr;Pcs;12000
Dahlia Reed Diffuser Heritage Teh Keraton (DISF610TK);Pcs;49500
Dahlia Refill Reed Diffuser Heritage Teh Keraton (DISF611TK);Pcs;31000
Dahlia Spray Teh Keraton 350 ml;Pcs;28000
Desk Set DS-0812 Joyko;Pcs;22000
Desk Set DS-1015 Joyko;Pcs;24000
Desk Set DS-338 Joyko;Pcs;15000
Detergen 800 Gr Merk Daia;Pcs;23000
Dompet Giro;Pcs;23000
Dorongan Air Karet WA077 - Dragon;Pcs;23000
"Double Tape 1"" Merk Daimaru";Roll;5750
"Double Tape 1"" Merk Joyko";Roll;5500
"Double Tape 1"" Merk Kenko (core biru)";Roll;5500
"Double Tape 1"" Merk Kenko (Merah)";Roll;5500
"Double Tape 1"" Merk Nachi";Roll;5500
"Double Tape 1/2"" Merk Daimaru";Roll;2800
"Double Tape 1/2"" Merk Joyko";Roll;2750
"Double Tape 1/2"" Merk Kenko (core biru)";Roll;2750
"Double Tape 1/2"" Merk Nachi";Roll;2700
"Double Tape 1/4"" Merk Joyko";Roll;1750
"Double Tape 1/4"" Merk Kenko core biru";Roll;1500
"Double Tape 2"" Merk Joyko";Roll;10000
"Double Tape 2"" Merk Kenko (core biru)";Roll;10500
"Double Tape 2"" Merk Nachi";Roll;11000
"Double Tape Busa 1"" Merk Daimaru";Roll;11000
"Double Tape Busa 1"" Merk Nachi";Roll;11000
"Double Tape Busa 1"" Merk Nippon";Roll;11000
Double Tape Busa 25mm x 4mtr 110-M25 - 3M;Roll;56500
"Double Tape Busa PE Foam 1"" Merk 3M";Roll;24500
"Double Tape Busa PE Foam 2"" Merk 3M";Roll;55000
Double Tape Nano Griptape 30mm x 1m - Alligator;Roll;22000
Drawing Pen 0,1 (Biru) Snowman;Pcs;8000
Drawing Pen 0,1 (Hitam) Snowman;Pcs;8000
Drawing Pen 0,1 (Merah) Snowman;Pcs;8000
Drawing Pen 0,3 (Biru) Snowman;Pcs;8000
Drawing Pen 0,3 (Merah) Snowman;Pcs;8000
Drawing Pen 0,3 Hitam Snowman;Pcs;8000
Drawing Pen 0,5 (Biru) Snowman;Pcs;8000
Drawing Pen 0,5 Hitam Snowman;Pcs;8000
Expanding File (Handle) EF-2638 Joyko;Pcs;45000
Expanding File A4 EF-7  Joyko;Pcs;60000
Expanding File Tali F4 - Inter X;Pcs;38000
Fit File / Clip File (Biru) Merk Inter X;Pcs;7500
Fit File / Clip File (Hijau) Merk Inter X;Pcs;7500
Fit File / Clip File (Kuning) Merk Inter X;Pcs;7500
Fit File / Clip File (Merah) Merk Inter X;Pcs;7500
Gantungan kunci KR 50 - Kenko;Set;28500
Gantungan Kunci KR 8 - Joyko;Set;35000
Gantungan Kunci KR 9 - Joyko;Set;28000
Garpu Stainless @6 Doll;Pak;47500
Gayung Plastik NGT-0411 Merk Nagata;Pcs;12500
Glade Gantung 70 / 80 Gr;Pcs;17800
Glade Spray 350 Ml;Pcs;30000
Glossy Photo Paper (Cast Coat) A4 210 Gr @20 - Spectra Color;Pak;19000
Glossy Photo Paper (Cast Coat) A4 230 Gr @20 - Spectra color;Pak;18900
Glossy Photo Paper A4 180 Gsm Merk Coral @ 20;Pak;15500
Glossy Photo Paper A4 210 Gsm Merk Coral @ 20;Pak;17000
Glossy Photo Paper A4 230 Gr - Coral @20;Pak;18500
Glossy Photo Paper A4 230 Gsm Merk Joyko;Pak;17500
Glue Tag (Tack It 30 Gr) - Faber Castell;Set;17500
Glue Tag (Tack It 50 Gr) - Faber Castell;Set;20000
Gula Putih 1kg Rosebrand;Pcs;19600
Gunting Besar 848 Merk Joyko;Pcs;10500
Gunting Besar 848 Merk Kenko;Pcs;10500
Gunting SC 828 Merk Joyko;Pcs;5500
Gunting SC-828 - Kenko;Pcs;5500
Gunting Sedang 838 Merk Joyko;Pcs;6500
Gunting Sedang 838 Merk Kenko;Pcs;6500
Hair Cap One Med @100;Pak;50000
Hand Soap (cuci tangan) 4 Liter Merk SOS;Drigen;77000
Hand Soap (cuci tangan) 4 Liter Merk SOS;Drigen;77500
Handsaplas Plester @ 100;Pak;36000
Hansaplas Plastik (Transparan) @10;Pak;11000
Heavy Duty Punch E0150 Merk Deli;Pcs;930000
Hit Spray 600ml;Pcs;42000
ID Card Bantex 8868;Pcs;16500
Indocafe Coffeemix 20 gr @10;Pak;18500
Isolasi 1 inci x 72 Merk Daimaru;Roll;5500
Isolasi 1 inci x 72 Merk Goldtape (Hijau);Slop;3350
Isolasi 1 inci x 72 Merk Nachi;Roll;3.100
Isolasi 1 inci x 72 Merk Panfix;Roll;26700
Isolasi 1/2  inci x 10 Merk Panfix;Roll;6200
Isolasi 1/2 inci x 10 Merk Daimaru;Roll;1000
Isolasi 1/2 inci x 10 Merk Nachi;Roll;800
Isolasi 1/2 inci x 36 Merk Panfix;Roll;9000
Isolasi 1/2 inci x 72 Merk Daimaru;Roll;2750
Isolasi 1/2 inci x 72 Merk Goldtape (Hijau);Slop;3350
Isolasi 1/2 inci x 72 Merk Nachi;Roll;3.100
Isolasi 1/2 inci x 72 Merk Panfix;Roll;13400
Jam Dinding 30cm Pioner;Pcs;127000
Kabel Roll 10 Meter Merk Uticon;Pcs;235000
Kain Pel Jepit (Biru) MP303 - Dragon;Pcs;56000
Kain Pel NGT404 - Nagata;Pcs;65000
Kain Pel No.18 MP251 - Dragon;Pcs;22500
Kamper 500 Gr - Swallow;Set;52500
Kamper Gantung Swallow S 105 150 gr;Pcs;24000
Kamper Kecil Warna Swallow 150 Gr;Pcs;24000
Kamper Toilet Putih @5 Merk Swallow;Set;24000
Kamper Toilet SG-533 Isi 5 Warna - Seagull;Pcs;18500
Kamper Toilet warna Swallow Isi 5;Pcs;24000
Kantong Kresek Hitam No. 40 - OTO;Pak;14500
Kantong Plastik Kresek Hitam No. 17 - Loco;Pak;15500
Kantong Plastik Kresek Hitam No. 24 - Loco;Pak;15500
Kantong Plastik Kresek Hitam No. 28 - Loco;Pak;15500
Kantong Plastik Kresek Hitam No. 35 - Loco;Pak;15500
Kantong Plastik Kresek Hitam No. 40 - Loco;Pak;15500
Kantong Plastik Kresek Hitam No. 50 Jumbo Loco;Pak;27000
Kantong Plastik Kresek Merah No. 28 - Loco;Pak;19000
Kantong Plastik Kresek Merah No. 35 - Loco;Pak;19000
Kantong Plastik Kresek Merah No. 40 - Loco;Pak;19000
Kantong Plastik Kresek Putih No. 17 - Loco;Pak;21000
Kantong Plastik Kresek Putih No. 24 - Loco;Pak;21000
Kantong Plastik Kresek Putih No. 28 - Loco;Pak;21000
Kantong Plastik Kresek Putih No. 35 - Loco;Pak;21000
Kapur Tulis Putih - Sarjana;Box;5500
Kapur Tulis Warna - Sarjana;Box;7500
Karbol Classic Pine/Sereh 3,6 Liter Merk SOS;Drigen;85000
Karbol Vixal Botol 780/ 750 ml;Pcs;17500
Karet Gelang 1 Kg;Kg;50000
Karet Gelang 1/2 Kg (Hijau);Pak;30000
Karet Gelang 1/2 Kg (Kuning);Pak;25000
Kartu Absensi Merk Apple;Pak;19500
Kartu Absensi Polos;Pak;16500
Kartu Absensi Warna;Pak;27000
Kartu Stock (Putih) Kecil;Pak;14500
Kartu Stock A4 Berdiri;Pak;27500
Kartu Stock A4 Tidur;Pak;27500
Kartu Stock F4 Berdiri;Pak;66000
Kassa 10 Cm @5;Pcs;5500
Kecap 275 Ml Merk Bango (botol);Pcs;27000
Kemoceng Bulu Ayam Besar;Pcs;53000
Kemoceng Bulu Kuda;Pcs;11500
Kemoceng Microfiber (Cendol);Pcs;21000
Kertas 1/2 A4 (A5 70Gr) Putih - Neuro;Pak;23000
Kertas 1/2 A4 (A5) Putih 75Gr - Brio;Rim;24500
Kertas 1/2 A4 (Biru) - Namas;Pak;32500
Kertas 1/2 A4 (Hijau) - Namas;Pak;32500
Kertas 1/2 A4 (Kuning) - Namas;Pak;32500
Kertas 1/2 A4 (Pink) - Namas;Pak;32500
Kertas 1/2 A4 (Putih) - Namas;Pak;32500
Kertas 1/2 F4 (Putih) - Namas;Pak;25100
Kertas Bufalo A4 (Biru Muda) Merk Namas;Pak;46000
Kertas Bufalo A4 (Biru Tua) Merk Namas;Pak;46000
Kertas Bufalo A4 (Cream) Merk Namas;Pak;46000
Kertas Bufalo A4 (Hijau Muda) Namas;Pak;46000
Kertas Bufalo A4 (Hijau Tua) Merk Namas;Pak;46000
Kertas Bufalo A4 (Merah Tua) Merk Namas;Pak;46000
Kertas Bufalo A4 (Orange/ Kuning Kunyit) Merk Namas;Pak;46000
Kertas Bufalo A4 (Pink) Merk Namas;Pak;46000
Kertas Bufalo A4 (Putih) Merk Namas;Pak;46000
Kertas Bufalo A4 Kuning Muda Merk Namas;Pak;46000
Kertas Bufalo A4 Tebal (Kuning Muda) Merk Namas;Pak;46000
Kertas Bufalo F4 (Biru Tua) Merk Namas;Pak;46000
Kertas Bufalo F4 (Hijau Muda) Merk Namas;Pak;47000
Kertas Bufalo F4 (Kuning Muda) Merk Namas;Pak;47000
Kertas Bufalo F4 (Merah Tua) Merk Namas;Pak;47000
Kertas Bufalo F4 (Merah) - Cakrawala;Pak;47000
Kertas Bufalo F4 (Orange) Merk Namas;Pak;47000
Kertas Bufalo F4 (Pink) Merk Namas;Pak;47000
Kertas Bufalo F4 (Putih) Merk Namas;Pak;47000
Kertas Bufalo F4 Biru Muda Merk Namas;Pak;46000
Kertas Bufalo F4 Hijau Tua Merk Namas;Pak;46000
Kertas Buram A4 - Namas;Pak;29000
Kertas Buram A4 Merk Neuro;Pak;27500
Kertas Buram F4 - Namas;Pak;30000
Kertas Buram F4 Merk Neuro;Pak;30000
Kertas Concorde A4 160 Gr (Putih) 80320/ 80401;Pak;10000
Kertas Concorde A4 200 (Putih) 80300;Pak;10500
Kertas Concorde A4 220 Gr (Cream) 80236;Pak;10500
Kertas Concorde A4 220 Gr (Putih) 80230;Pak;10500
Kertas Concorde A4 90 Gr (Putih) 80201;Pak;10000
Kertas Concorde F4 220 Gr 80530 (Putih);Pak;12500
Kertas Fax 210 x 30 Merk Fax;Roll;31500
Kertas Flipchart Buram;Roll;10000
Kertas Flipchart Hvs Putih 80gr;Roll;20000
Kertas Glossy Photo Paper A3 260 Gr - Coral;Pak;46000
Kertas Glossy Sticker A3 120 Gr Merk Coral;Pak;48000
Kertas Glossy Sticker A4 120 Gr - Coral @ 20;Pak;24000
Kertas Glossy Sticker A4 135 Gr - Eprint;Pak;35000
Kertas Glosy Photo A4 260 Gr Merk Coral;Pak;24500
Kertas HVS A3 70/ 75 Gr Merk Sinar Dunia;Rim;80500
Kertas HVS A3 70/75 Gr - Paper One;Rim;79500
Kertas HVS A3 75 Gr - PP Lite;Rim;70500
Kertas HVS A3 80/85 Gr - Paper One;Rim;88000
Kertas HVS A4 100 Gr - Paper One;Rim;60500
Kertas HVS A4 70 Gr - A One;Rim;35000
Kertas HVS A4 70 Gr - Bola Dunia;Rim;39500
Kertas HVS A4 75 Gr - Copier;Rim;35500
Kertas HVS A4 75 Gr - Copy Paper;Rim;35500
Kertas HVS A4 75 Gr - Paper One;Rim;39500
Kertas HVS A4 75 Gr - PP Lite;Rim;36000
Kertas HVS A4 75 Gr - Sinar Dunia;Rim;40200
Kertas HVS A4 80 Gr - Bola Dunia;Rim;44000
Kertas HVS A4 80 Gr Merk Sinar Dunia;Rim;43500
Kertas HVS A4 80/85 Gr - Paper One;Rim;43500
Kertas HVS F4 (Biru) Merk Neuro;Rim;61000
Kertas HVS F4 (Hijau) Merk Neuro;Rim;61000
Kertas HVS F4 (Kuning) Merk Neuro;Rim;61000
Kertas HVS F4 (Pink) Merk Neuro;Rim;61000
Kertas HVS F4 70 Gr - A One;Rim;45000
Kertas HVS F4 70 Gr - Bola Dunia;Rim;44750
Kertas HVS F4 75 Gr - Copier;Rim;40500
Kertas HVS F4 75 Gr - Copy Paper;Rim;40000
Kertas HVS F4 75 Gr - Paper One;Rim;45000
Kertas HVS F4 75 Gr - PP Lite;Rim;40500
Kertas HVS F4 75 Gr - Sinar Dunia;Rim;45500
Kertas HVS F4 80 Gr - Bola Dunia;Rim;52500
Kertas HVS F4 80 Gr - Paper One;Rim;49500
Kertas HVS F4 80 Gr - Sinar Dunia;Rim;49200
Kertas Hvs Putih A4 60 Gr - Namas;Rim;36000
Kertas Hvs Q 70/75gr - Paperone;Rim;38500
Kertas Hvs Q 80gr - Paperone;Rim;38500
Kertas Inkjet / Matte Inkjet A4 110 Gr - Coral;Pak;37000
Kertas Inkjet / Matte Inkjet A4 128/130 Gr - Coral;Pak;41000
Kertas Kalkir A3 80/85gr Merk Diamant;Set;144000
Kertas Kalkir A4 80/85gr Merk Diamant;Set;77000
Kertas Kalkir F4 80/85gr Merk Diamant;Set;77000
Kertas Karbon Merk Sailing Boat Biru;Pak;37000
Kertas Karbon Merk Sailing Boat Hitam;Pak;37000
Kertas Loose Leaf A5 20 Hole;Pak;9500
Kertas Loose Leaf B5 26 Hole;Pak;13500
Kertas Photo Silky A4 260 Gsm - Eprint;Pak;61000
Kertas Samson 80 Gr (90 x 120);Pcs;2000
Kertas Struk 44 x 65 - Paperline;Roll;3500
Kertas Struk 58 x 48 - Paperline;Roll;2600
Kertas Struk 58 x 65 - Paperline;Roll;4600
Kertas Struk 68 x 48 - Paperline;Roll;3100
Kertas Struk 68 x 65 - Paperline;Roll;5300
Kertas Struk 75 x 65 ( 1 Ply ) - Paperline;Roll;5900
Kertas Struk 75 x 65 ( 2 Ply ) - Paperline;Roll;9100
Kertas Thermal 57 x 40 Merk Fyfax;Roll;3500
Kertas Thermal EDC Uk. 57 x 30 - Paperline;Roll;3500
Kertas Thermal Roll Uk. 80 x 48 - Fyfax;Roll;6500
Kertas Thermal Roll Uk. 80 x 80 - Fyfax;Roll;15000
Kertas Warna (Biru) A4 70 Gr - Namas;Pak;57000
Kertas Warna (Biru) F4 70 Gr - Namas;Pak;61000
Kertas Warna (Hijau) A4 70 Gr - Namas;Pak;57000
Kertas Warna (Hijau) F4 60 Gr - Namas;Pak;57500
Kertas Warna (Hijau) F4 70 Gr - Namas;Pak;61000
Kertas Warna (Kuning) A4 70 Gr - Namas;Pak;57000
Kertas Warna (Kuning) F4 60 Gr - Namas;Pak;57500
Kertas Warna (Kuning) F4 70 Gr - Namas;Pak;61000
Kertas Warna (Pink) A4 70 Gr - Namas;Pak;57000
Kertas Warna (Pink) F4 70 Gr - Namas;Pak;61000
Kertas Warna A4 (Lavender) IT 185 Spektra Colour;Rim;92000
Kertas Warna A4 (Merah) IT 250 - Spektra Colour;Rim;98000
Kertas Warna A4 70 Gr (Biru) Merk Sidu;Rim;66000
Kertas Warna A4 70 Gr (Hijau) Merk Sidu;Rim;66000
Kertas Warna A4 70 Gr (Kuning) Merk Sidu;Rim;66000
Kertas Warna A4 70 Gr (Pink) Merk Sidu;Rim;66000
Kertas Warna A4 80 Gr (Rainbow Pack) Merk Sidu;Pak;52000
Kertas Warna F4 70 Gr (Biru) Merk Sidu;Rim;75000
Kertas Warna F4 70 Gr (Hijau) Merk Sidu;Rim;75000
Kertas Warna F4 70 Gr (Kuning) Merk Sidu;Rim;75000
Kertas Warna F4 70 Gr (Pink) Merk Sidu;Rim;75000
Keset Anyam Kain;Pcs;8000
Keset Handuk 40 x 60;Pcs;25000
Keset Karet (Welcome) 40 x 60;Pcs;36000
Keset Karet (Welcome) 60 x 90;Pcs;110000
Keset Karet Bihun 40 x 60 Polos;Pcs;36500
Keset Karet Bihun 60 x 90 Polos;Pcs;125000
Keyboard Logitech K120;Pcs;116000
Kit Shampoo Mobil ref. 720 Ml (Wash & Glow);Pcs;20500
Kopi Bubuk Special 150 / 160 Gr - Kapal Api;Pcs;27500
Kopi Goodday Cappucino @10;Renceng;25000
Kopi Kapal Api 350 / 380 Gr special;Pcs;60500
Kopi Kapal Api Mix 23 / 24 Gr;Pcs;2100
Kopi Nescafe Botol 200 Gr;Botol;120700
Kopi Nescafe Classic 2 Gr @60;Pak;83500
Kopi Nescafe Classic 90 Gr (Bungkusan);Pcs;60000
Label A4 L01 Merk Tom and Jerry;Pak;35500
Label Direct Thermal Sticker 100 x 150 1line @300 - Blueprint;Roll;41500
Label Direct Thermal Sticker 100 x 150 1line @400 - Blueprint;Roll;60000
Label Direct Thermal Sticker 50 x 30 @1000 - Blueprint;Roll;25000
Label Direct Thermal Sticker 60 x 40 (1 Line) @500;Roll;20500
Label Direct Thermal Sticker 78 x 100 @300 - Blueprint;Roll;32000
Label Direct Thermal Sticker Uk. 33 x 15 1 Line 40mm;Roll;8000
Label No. 100 Tom and Jerry;Pad;5000
Label No. 101 Tom and Jerry;Pad;5000
Label No. 102 Tom and Jerry;Pad;5000
Label No. 103 Biru - Tom and Jerry;Pad;5000
Label No. 103 Hijau Tom and Jerry;Pad;5000
Label No. 103 Kuning Tom and Jerry;Pad;5000
Label No. 103 Merah Tom and Jerry;Pad;5000
Label No. 103 Merk Bunny;Pad;5000
Label No. 103 Merk Star;Pad;5000
Label No. 103 Orange - Tom and Jerry;Pad;5000
Label No. 103 Pink - Tom and Jerry;Pad;5000
Label No. 103 Tom and Jerry;Pad;5000
Label No. 103 Transparant Tom and Jerry;Box;312500
Label No. 104 Tom and Jerry;Pad;5000
Label No. 105 (Biru) Tom and Jerry;Pad;7500
Label No. 105 (Hijau) Tom and Jerry;Pad;7500
Label No. 105 (Kuning) Tom and Jerry;Pad;7500
Label No. 105 (Merah) Tom and Jerry;Pad;7500
Label No. 105 (Orange) Tom and Jerry;Pad;7500
Label No. 105 (Pink) Tom and Jerry;Pad;7500
Label No. 105 Tom and Jerry;Pad;5000
Label No. 106 Tom and Jerry;Pad;5000
Label No. 107 (Hijau) Merk Tom and Jerry;Pad;7500
